Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
4.11908E-9,0.000000412,0.000020544,1,0,0
5.0185E-9,0.000001337,0.000025029,0.999802039,0,0
6.40865E-9,0.000003091,0.000031962,0.999505097,0,0
1.45309E-8,0.00001105,0.000072469,0.998713253,0,0
1.91843E-8,0.000026464,0.000095676,0.997822429,0,0
2.43655E-8,0.000050403,0.000121515,0.996733643,0,0
3.32677E-8,0.000101488,0.000165907,0.995050975,0,0
5.5065E-8,0.000250196,0.000274597,0.991586657,0,0
8.1592E-8,0.000506195,0.000406854,0.987924379,0,0
1.16694E-7,0.001005417,0.000581835,0.982975354,0,0
2.00494E-7,0.002503871,0.000999455,0.973869148,0,0
2.93455E-7,0.005006771,0.001462523,0.963674156,0,0
4.15588E-7,0.010035689,0.002070579,0.949618925,0,0
7.54701E-7,0.025073137,0.00375696,0.923389092,0,0
1.31556E-6,0.050122043,0.006539818,0.898742948,0,0
2.2003E-6,0.10011419,0.010913882,0.870038602,0.001618123,0
3.76487E-6,0.200337547,0.018601917,0.836385232,0.001618123,0
5.08957E-6,0.300439374,0.02506453,0.813916658,0.001618123,0
6.66741E-6,0.400027552,0.032706597,0.796990993,0.001618123,0
7.84355E-6,0.50072157,0.038364082,0.783331684,0.004854369,0
8.99035E-6,0.600125561,0.043848541,0.771651985,0.004854369,0
9.96225E-6,0.700530542,0.048472085,0.761259032,0.004854369,0
1.0553E-5,0.75083643,0.051271406,0.756408987,0.004854369,0
1.09644E-5,0.800353061,0.053216105,0.751855884,0.004854369,0
1.18993E-5,0.90109586,0.057620579,0.7431456,0.004854369,0
1.27892E-5,1.000989795,0.061793595,0.73512818,0.004854369,0
1.35804E-5,1.101091684,0.065488621,0.727605662,0.006472492,0
1.43922E-5,1.200424914,0.069264947,0.720578046,0.006472492,0
1.51576E-5,1.300652514,0.072810942,0.713847372,0.006472492,0
1.5857E-5,1.401243365,0.076039542,0.70741364,0.006472492,0
1.66942E-5,1.500450683,0.079889678,0.701375829,0.006472492,0
1.85395E-5,1.750174657,0.088318903,0.687320598,0.008090615,0
2.01558E-5,2.001791409,0.095638558,0.674453133,0.011326861,0
2.17155E-5,2.250934948,0.102646358,0.662674453,0.011326861,0
2.32765E-5,2.500811084,0.109605334,0.651687618,0.011326861,0
2.44704E-5,2.750912843,0.114891285,0.641294665,0.012944984,0
2.57574E-5,3.002003443,0.12055467,0.631396615,0.017799353,0
2.69198E-5,3.25182981,0.125638486,0.621993467,0.019417476,0
2.81559E-5,3.502535073,0.131012049,0.612986242,0.022653722,0
2.93865E-5,3.750037202,0.136329424,0.604473919,0.024271845,0
3.05625E-5,4.001615608,0.141380204,0.596159557,0.025889968,0
3.18929E-5,4.252092106,0.147058625,0.588241117,0.033980583,0
3.29862E-5,4.501976497,0.151696752,0.580619618,0.033980583,0
3.42338E-5,4.750926485,0.156958651,0.573295061,0.033980583,0
3.56274E-5,5.002005293,0.16279796,0.566168465,0.040453074,0
3.66512E-5,5.251371669,0.167061993,0.55933881,0.042071197,0
3.78709E-5,5.50090231,0.172113429,0.552707117,0.045307443,0
3.88528E-5,5.750420716,0.176158149,0.546273384,0.046925566,0
4.00099E-5,6.002950813,0.180898579,0.539938632,0.046925566,0
4.13603E-5,6.251413048,0.186396834,0.533900822,0.048543689,0
4.23253E-5,6.502257353,0.1903031,0.527961991,0.048543689,0
4.32799E-5,6.750688874,0.194148956,0.522221122,0.050161812,0
4.45203E-5,7.001144826,0.199119049,0.516579234,0.051779935,0
4.55039E-5,7.253290253,0.203038193,0.511036326,0.051779935,0
4.64283E-5,7.501386922,0.206703948,0.505691379,0.053398058,0
4.73586E-5,7.75002188,0.210376504,0.500445412,0.056634304,0
