Predictor variable,Categorical,Sample average
Alt_mean,false,100.8284789644013
Arable,false,0.22987055001195678
BL,false,0.09686084108541698
Coast,false,0.00401294494837426
Conif,false,0.025436893277304265
ImGrass,false,0.42407767015319425
SemiNat,false,0.029919093706822896
Slope_meanDeg,false,2.7519417742695236
Upland,false,0.028543689270115014
Urban,false,0.15435275099990728
Water,false,0.007847896385274852
aspect,false,174.86747819262416
bio1,false,9.886643442906994
bio12,false,831.2915400532843
bio18,false,179.74157285227358
bio2,false,7.586674272821173
bio3,false,38.998937656192716
bio4,false,451.027092498483
bio5,false,21.045617327335197
bio6,false,1.6180663457514062
bio8,false,7.777228163061771
bio9,false,11.072891979927384
