"Record ID","Data Resource ID","Dataset name","Licence","Catalog Number","Taxon Concept ID","Scientific Name","Scientific name (intepreted)","Taxon rank","Common name","Kingdom","Phylum","Class","Order","Family","Genus","Species","Subspecies","Institution Code","Collection Code","record _ number","Occurrence status","Longitude - original","Geodetic Datum","Decimal latitude (WGS84)","Decimal latitude (WGS84)","Coordinate uncertainty in metres","OSGR","OSGR 100km","OSGR 10km","OSGR 2km","OSGR 1km","Country","State/Province","Locality","Individual count","Collector","Year","Month","Date","Basis Of Record - original","Basis of record","Sex","Data Resource ID","Dataset name"
"c2986354-4de2-4e7f-abe1-f335fc557e13","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","887","236811","present","","","57.5298","-2.03756","100.0","NJ978488","NJ","NJ94","NJ94U","NJ9748","United Kingdom","Scotland","Pitfour Loch","","Pettinelli, R.","2005","02","2005-02-27","","","","dr1418","Aquatic Heteroptera Dataset"
"c10ea5a9-ddde-48e1-8cfa-7b4364b4d83c","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","248686","present","","","52.01276","-0.76073","100.0","SP851356","SP","SP83","SP83M","SP8535","United Kingdom","England","Milton Keynes, Furzton Park, lake","","Brooke, S.; Nau, B.","2006","02","2006-02-05","","","","dr1418","Aquatic Heteroptera Dataset"
"b9025313-04a9-4e57-a5f6-ad1e1fb6ba4a","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","297199","present","","","56.26692","-2.78866","100.0","NO512085","NO","NO50","NO50E","NO5108","United Kingdom","Scotland","Pittarthie Farm, upper pond","","Huxley, T.","2003","02","2003-02-24","","","","dr1418","Aquatic Heteroptera Dataset"
"aeff5962-d55f-4273-91d8-d64d10ceb5ce","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","297410","present","","","56.28805","-2.71156","100.0","NO560108","NO","NO51","NO51Q","NO5610","United Kingdom","Scotland","Swinkie Moss","","Huxley, T.","2003","02","2003-02-13","","","","dr1418","Aquatic Heteroptera Dataset"
"ad1263b2-1be2-4eae-b011-0150a423441a","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","271002","present","","","53.34996","-3.33096","1000.0","SJ1184","SJ","SJ18","SJ18C","SJ1184","United Kingdom","Wales","Talacre, Llawndy & Warren Farms, Ditch 2","","Wallace, I.D.","2001","02","2001-02-13","","","","dr1418","Aquatic Heteroptera Dataset"
"ac2545b0-dd4b-4bdd-98b4-b8c295168816","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","296953","present","","","56.07111","-3.30995","100.0","NT185872","NT","NT18","NT18Y","NT1887","United Kingdom","Scotland","Cullaloe Cottage, pond","","Huxley, T.","2003","02","2003-02-24","","","","dr1418","Aquatic Heteroptera Dataset"
"aabca87e-e55f-4f7b-9a9a-3d7ef9854758","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","297198","present","","","56.26692","-2.78866","100.0","NO512085","NO","NO50","NO50E","NO5108","United Kingdom","Scotland","Pittarthie Farm, upper pond","","Huxley, T.","2003","02","2003-02-24","","","","dr1418","Aquatic Heteroptera Dataset"
"a91279f1-6217-4c38-95ef-e24809cbcffd","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","296980","present","","","56.21753","-2.91504","100.0","NO433031","NO","NO40","NO40G","NO4303","United Kingdom","Scotland","Strathairlie House, Upper Largo, pond","","Huxley, T.","2003","02","2003-02-24","","","","dr1418","Aquatic Heteroptera Dataset"
"a6ff82c6-5692-4995-abe8-fedb527afda5","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","296954","present","","","56.07111","-3.30995","100.0","NT185872","NT","NT18","NT18Y","NT1887","United Kingdom","Scotland","Cullaloe Cottage, pond","","Huxley, T.","2003","02","2003-02-24","","","","dr1418","Aquatic Heteroptera Dataset"
"a46395d6-395b-43b0-8b1b-03d5e565840e","dr1418","Aquatic Heteroptera Dataset","CC0","","NHMSYS0020309829","Sigara (Sigara) dorsalis","Sigara (Sigara) dorsalis","species","","Animalia","Arthropoda","Insecta","Hemiptera","Corixidae","Sigara","Sigara dorsalis","","Aquatic Heteroptera Recording Scheme","891","282676","present","","","53.38326","-0.79948","100.0","SK799880","SK","SK78","SK78Z","SK7988","United Kingdom","England","Bole Ings: Saundby Ponds","","Merritt, R.","1999","02","1999-02-28","","","","dr1418","Aquatic Heteroptera Dataset"
