Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.45857E-8,0.000001459,0.000077799,1,0,0
1.62735E-8,0.000003086,0.000086802,0.999901166,0,0
2.56392E-8,0.000010933,0.000136754,0.999505831,0,0
3.17237E-8,0.000025936,0.000169204,0.999011662,0,0
4.19966E-8,0.000053239,0.00022399,0.998319826,0,0
5.68758E-8,0.000103981,0.000303337,0.997331488,0,0
7.47137E-8,0.000256963,0.000398454,0.995058312,0,0
1.00552E-7,0.000500637,0.000536216,0.992290967,0,0
1.36602E-7,0.001002707,0.000728387,0.988041115,0,0
1.99577E-7,0.002502215,0.001064007,0.979343744,0,0
2.8277E-7,0.005005479,0.0015072,0.969163866,0,0
4.37383E-7,0.010016865,0.002330344,0.955129472,0,0
7.50262E-7,0.025028897,0.003994006,0.930124531,0.001618123,0
1.22067E-6,0.050091575,0.006490061,0.904427753,0.001618123,0
2.02783E-6,0.10019552,0.010758429,0.873393951,0.001618123,0
3.80858E-6,0.200004077,0.020110553,0.838703301,0.001618123,0
5.25542E-6,0.300325738,0.027643854,0.816663372,0.001618123,0
6.54286E-6,0.400314708,0.034298563,0.799762799,0.001618123,0
7.82221E-6,0.500710361,0.040866286,0.785926072,0.001618123,0
9.14536E-6,0.600005902,0.047611885,0.774362522,0.001618123,0
1.03787E-5,0.700781105,0.053856879,0.764182645,0.003236246,0
1.10956E-5,0.750217646,0.05746818,0.759636292,0.003236246,0
1.15969E-5,0.800200596,0.05998492,0.755287606,0.003236246,0
1.26906E-5,0.900733879,0.065453151,0.747084404,0.003236246,0
1.3734E-5,1.000649694,0.070639784,0.739573038,0.003236246,0
1.4596E-5,1.10082314,0.074903317,0.732555841,0.004854369,0
1.54951E-5,1.200286164,0.079329642,0.726032813,0.004854369,0
1.63533E-5,1.300701556,0.083534516,0.719806286,0.004854369,0
1.73583E-5,1.400526218,0.088434235,0.713975094,0.004854369,0
1.80024E-5,1.50131248,0.091560596,0.708341569,0.004854369,0
2.02302E-5,1.750368669,0.102292277,0.69549318,0.009708738,0
2.21421E-5,2.000618959,0.111401009,0.683830797,0.009708738,0
2.39055E-5,2.250861099,0.119719946,0.67315675,0.009708738,0
2.51432E-5,2.500728212,0.125512556,0.663075707,0.011326861,0
2.66474E-5,2.752254153,0.132501222,0.653488832,0.011326861,0
2.81229E-5,3.00188943,0.139301964,0.644494959,0.012944984,0
2.94208E-5,3.250018137,0.14524019,0.635995256,0.014563107,0
3.0759E-5,3.502799383,0.151319718,0.62769322,0.014563107,0
3.21646E-5,3.750959653,0.157659327,0.619885353,0.01618123,0
3.33211E-5,4.003281982,0.162839435,0.612275153,0.017799353,0
3.44157E-5,4.250409193,0.167713133,0.605060289,0.024271845,0
3.54537E-5,4.501976634,0.172308725,0.597944258,0.027508091,0
3.67129E-5,4.750863481,0.177849618,0.591124728,0.03236246,0
3.78961E-5,5.000804365,0.183022027,0.584502866,0.035598706,0
3.90566E-5,5.251092073,0.188063598,0.578078672,0.038834951,0
4.0258E-5,5.500716021,0.193250158,0.571852145,0.042071197,0
4.13676E-5,5.753785782,0.19801118,0.565724451,0.04368932,0
4.22751E-5,6.000474484,0.201883947,0.55989326,0.045307443,0
4.32752E-5,6.252624852,0.2061303,0.554062068,0.046925566,0
4.44014E-5,6.502217035,0.21088528,0.548428543,0.050161812,0
4.54605E-5,6.753581909,0.215330472,0.542893853,0.050161812,0
4.67942E-5,7.002968963,0.220893119,0.537556829,0.051779935,0
4.77805E-5,7.253599128,0.22498123,0.53231864,0.051779935,0
4.89743E-5,7.500601668,0.229900643,0.527278118,0.051779935,0
4.99886E-5,7.752887605,0.234056114,0.522237596,0.055016181,0
5.11234E-5,8.000458098,0.238678566,0.517394742,0.055016181,0
5.22012E-5,8.253534502,0.243042837,0.512551888,0.058252427,0
5.3017E-5,8.500812431,0.246329771,0.507906701,0.05987055,0
5.391E-5,8.752147585,0.249910997,0.503261514,0.061488673,0
5.48041E-5,9.00230122,0.253480049,0.498715161,0.061488673,0
5.59805E-5,9.251760996,0.258149943,0.494267642,0.064724919,0
5.71835E-5,9.50069917,0.262895048,0.489918956,0.064724919,0
5.82463E-5,9.754422682,0.267061705,0.485570271,0.066343042,0
5.94122E-5,10.001189839,0.27160594,0.481419253,0.067961165,0
6.0353E-5,10.252679895,0.275252217,0.477268235,0.069579288,0
6.12853E-5,10.502129879,0.278847365,0.473216051,0.077669903,0
6.21966E-5,10.755429406,0.282344294,0.469163866,0.077669903,0
6.31396E-5,11.0058762,0.285945355,0.465210516,0.082524272,0
6.39427E-5,11.253683196,0.288997391,0.461355999,0.082524272,0
6.48799E-5,11.504968723,0.292543232,0.457501483,0.084142395,0
6.57151E-5,11.753281482,0.295687719,0.4537458,0.087378641,0
6.67322E-5,12.005085728,0.299498582,0.449990117,0.087378641,0
6.75388E-5,12.253414107,0.302505954,0.446333267,0.088996764,0
6.83001E-5,12.50476557,0.305332829,0.442676418,0.090614887,0
6.91065E-5,12.752035403,0.308314507,0.439118403,0.093851133,0
6.97584E-5,13.002026477,0.310715373,0.435560387,0.097087379,0
7.05324E-5,13.25454155,0.313555325,0.432002372,0.100323625,0
7.12435E-5,13.502935172,0.316154328,0.42854319,0.101941748,0
7.20158E-5,13.753676879,0.318965667,0.425084009,0.101941748,0
7.30576E-5,14.0006143,0.322739503,0.421723661,0.101941748,0
7.40727E-5,14.25088194,0.326397035,0.418363313,0.101941748,0
7.5166E-5,14.504839845,0.330313681,0.415002965,0.103559871,0
7.60077E-5,14.754304375,0.333313919,0.411741451,0.103559871,0
7.70327E-5,15.006634139,0.336948972,0.408479937,0.105177994,0
7.81395E-5,15.255067854,0.340852081,0.405317256,0.108414239,0
7.89311E-5,15.506467808,0.343629495,0.402154576,0.111650485,0
7.96365E-5,15.752160988,0.346094274,0.399090729,0.114886731,0
8.0575E-5,16.000574666,0.349359634,0.396026883,0.114886731,0
8.14247E-5,16.251916368,0.352301916,0.392963036,0.118122977,0
8.22879E-5,16.505797622,0.355277401,0.38989919,0.1197411,0
8.29502E-5,16.753759006,0.357550987,0.386934177,0.121359223,0
8.36862E-5,17.003745636,0.360068571,0.383969164,0.126213592,0
8.48178E-5,17.256552995,0.363919364,0.381004151,0.126213592,0
8.57217E-5,17.503809341,0.366979128,0.378137972,0.126213592,0
8.6528E-5,17.753548938,0.369695778,0.375271793,0.126213592,0
8.72965E-5,18.005589612,0.372274306,0.372405614,0.131067961,0
8.81503E-5,18.251515633,0.375126687,0.369638268,0.134304207,0
8.89146E-5,18.508168592,0.377668893,0.366772089,0.137540453,0
9.00622E-5,18.758899608,0.381466966,0.364004744,0.139158576,0
9.0763E-5,19.003075237,0.383774843,0.361336232,0.142394822,0
9.17973E-5,19.258591483,0.387165025,0.358568887,0.144012945,0
9.22699E-5,19.507040267,0.388708006,0.355900376,0.145631068,0
9.29143E-5,19.757160498,0.390805651,0.353231864,0.147249191,0
9.38749E-5,20.000121122,0.393919348,0.350662186,0.147249191,0
9.45939E-5,20.254532494,0.396239347,0.347993675,0.148867314,0
9.54848E-5,20.501623597,0.399101534,0.345423997,0.150485437,0
9.65649E-5,20.751311555,0.402553722,0.342854319,0.150485437,0
9.75135E-5,21.003550887,0.40556898,0.340284641,0.153721683,0
9.87179E-5,21.258455157,0.409375648,0.337714963,0.156957929,0
9.94933E-5,21.506296078,0.411813604,0.335244119,0.156957929,0
1.00199E-4,21.755852903,0.414023402,0.332773275,0.158576052,0
1.01323E-4,22.007805817,0.417526827,0.330302431,0.161812298,0
1.02128E-4,22.251823785,0.420021914,0.327930421,0.163430421,0
1.03234E-4,22.508773378,0.42343411,0.325459577,0.166666667,0
1.04198E-4,22.757814239,0.426389483,0.323087567,0.16828479,0
1.04718E-4,23.008504571,0.427980095,0.320715556,0.169902913,0
1.05519E-4,23.250351745,0.430416988,0.31844238,0.173139159,0
1.06516E-4,23.504575894,0.433438156,0.31607037,0.174757282,0
1.07456E-4,23.750511854,0.43627168,0.313797193,0.17961165,0
1.08382E-4,24.009407217,0.439051922,0.311425183,0.17961165,0
1.0937E-4,24.259751612,0.441998016,0.309152006,0.182847896,0
1.10476E-4,24.501728178,0.445281613,0.306977664,0.186084142,0
1.11295E-4,24.756910343,0.447698457,0.304704487,0.187702265,0
1.12228E-4,25.002866044,0.450440107,0.302530144,0.187702265,0
1.13006E-4,25.250744756,0.452717895,0.300355802,0.190938511,0
1.13956E-4,25.500278126,0.455484936,0.298181459,0.192556634,0
1.14507E-4,25.751544309,0.457080995,0.296007116,0.192556634,0
1.1522E-4,26.004319189,0.459143116,0.293832773,0.192556634,0
1.15957E-4,26.258689201,0.461266132,0.291658431,0.19579288,0
1.17228E-4,26.503808859,0.464905342,0.289582922,0.197411003,0
1.18127E-4,26.750977469,0.467464847,0.287507413,0.200647249,0
1.19025E-4,27.000040971,0.470008351,0.285431904,0.200647249,0
1.19609E-4,27.250664179,0.471657235,0.283356395,0.202265372,0
1.20316E-4,27.502655042,0.473647393,0.281280886,0.203883495,0
1.21322E-4,27.756582597,0.476463524,0.279205377,0.207119741,0
1.22425E-4,28.000269041,0.479535499,0.277228701,0.208737864,0
1.23492E-4,28.258416946,0.482489315,0.275153192,0.213592233,0
1.24063E-4,28.505981953,0.484062458,0.273176517,0.213592233,0
1.25227E-4,28.755469941,0.487256964,0.271199842,0.213592233,0
1.25873E-4,29.006608678,0.489019126,0.269223167,0.215210356,0
1.26837E-4,29.259364711,0.491639278,0.267246491,0.221682848,0
1.28011E-4,29.501549221,0.49481438,0.26536865,0.226537217,0
1.29064E-4,29.758507466,0.497643291,0.263391975,0.22815534,0
1.30045E-4,30.004828274,0.500265251,0.261514133,0.229773463,0
1.31266E-4,30.253033285,0.50351085,0.259636292,0.233009709,0
1.32352E-4,30.503669745,0.50637804,0.25775845,0.236245955,0
1.33423E-4,30.755913357,0.509189957,0.255880609,0.237864078,0
1.34054E-4,31.009985354,0.510838228,0.254002767,0.242718447,0
1.34837E-4,31.251921071,0.512878502,0.25222376,0.247572816,0
1.3554E-4,31.508773473,0.514700849,0.250345918,0.250809061,0
1.37021E-4,31.754153027,0.518518543,0.24856691,0.250809061,0
1.38416E-4,32.001949169,0.522088457,0.246787903,0.252427184,0
1.39506E-4,32.252322567,0.524859249,0.245008895,0.25566343,0
1.40323E-4,32.504144233,0.526926806,0.243229887,0.257281553,0
1.41761E-4,32.758225551,0.530541089,0.24145088,0.258899676,0
1.42497E-4,33.014099787,0.532379222,0.239671872,0.265372168,0
1.43298E-4,33.257061723,0.534373562,0.237991698,0.268608414,0
1.44457E-4,33.501782931,0.537243471,0.236311524,0.27184466,0
1.4507E-4,33.762312981,0.538754093,0.234532516,0.27184466,0
1.46295E-4,34.010170859,0.541758094,0.232852342,0.276699029,0
1.46827E-4,34.259440699,0.543057121,0.231172168,0.278317152,0
1.47476E-4,34.509554512,0.544636563,0.229491994,0.281553398,0
