Predictor variable,Categorical,Sample average
Alt_mean,false,98.09546925566343
Arable,false,0.24027508090651054
BL,false,0.09530744299859194
Coast,false,0.0027831714588268676
Conif,false,0.028414239534282376
ImGrass,false,0.420226537718959
SemiNat,false,0.030048543554173125
Slope_meanDeg,false,2.6745954925574145
Upland,false,0.02750809064502662
Urban,false,0.1481229775919787
Water,false,0.008462783096894671
aspect,false,182.23710609196073
bio1,false,9.900099543691839
bio12,false,831.559929807595
bio18,false,180.39053885450642
bio2,false,7.603538091900279
bio3,false,39.06987666157843
bio4,false,450.6253190518969
bio5,false,21.05884629005753
bio6,false,1.627468450193845
bio8,false,7.905423009665653
bio9,false,10.925946450927883
