Predictor variable,Categorical,Sample average
Alt_mean,false,98.19255663430421
Arable,false,0.23087378667251576
BL,false,0.09592232976747755
Coast,false,0.0038996763183798606
Conif,false,0.03137540465528236
ImGrass,false,0.4204530746835769
SemiNat,false,0.03121359207483557
Slope_meanDeg,false,2.7271844887424828
Upland,false,0.03263754045898185
Urban,false,0.1443527509792916
Water,false,0.010372168167485195
aspect,false,181.9744998538764
bio1,false,9.884287524763435
bio12,false,836.0376604691293
bio18,false,180.31861907070123
bio2,false,7.586927518103886
bio3,false,39.03814426903586
bio4,false,450.1860572790251
bio5,false,21.028602752870725
bio6,false,1.6233228196248315
bio8,false,7.852136737869762
bio9,false,11.065549069623732
