x,y,species cloglog values
1.0,1.0,0.11661845
2.0,2.0,0.41038364
3.0,3.0,0.6606056
4.0,4.0,0.69319427
5.0,5.0,0.20363256
6.0,6.0,0.35449705
7.0,7.0,0.006776422
8.0,8.0,0.8952254
9.0,9.0,0.009395057
10.0,10.0,9.3782746E-4
11.0,11.0,0.679866
12.0,12.0,0.11578977
13.0,13.0,0.33624753
14.0,14.0,0.25463107
15.0,15.0,0.019445986
16.0,16.0,0.134697
17.0,17.0,0.27144855
18.0,18.0,0.30498844
19.0,19.0,0.13730316
20.0,20.0,0.22611305
21.0,21.0,0.93022084
22.0,22.0,0.4936197
23.0,23.0,0.29245183
24.0,24.0,0.312157
25.0,25.0,0.008042647
26.0,26.0,0.75670654
27.0,27.0,0.047287583
28.0,28.0,0.13539654
29.0,29.0,0.6949542
30.0,30.0,0.09965897
31.0,31.0,0.40064922
32.0,32.0,0.07984356
33.0,33.0,0.16884102
34.0,34.0,0.4176951
35.0,35.0,0.025097886
36.0,36.0,0.1658875
37.0,37.0,0.21890087
38.0,38.0,0.05732931
39.0,39.0,0.79974073
40.0,40.0,0.3425468
41.0,41.0,0.071030304
42.0,42.0,0.6004579
43.0,43.0,0.009947338
44.0,44.0,0.07208923
45.0,45.0,0.12233925
46.0,46.0,0.5085924
47.0,47.0,0.7413284
48.0,48.0,0.19699515
49.0,49.0,0.04649812
50.0,50.0,0.013926681
51.0,51.0,0.50166297
52.0,52.0,0.049267072
53.0,53.0,0.0012520226
54.0,54.0,0.23607586
55.0,55.0,0.9235753
56.0,56.0,0.27557305
57.0,57.0,0.12368182
58.0,58.0,0.27077693
59.0,59.0,0.15946884
60.0,60.0,0.12967469
61.0,61.0,0.6213604
62.0,62.0,0.47300586
63.0,63.0,0.31438693
64.0,64.0,0.29091227
65.0,65.0,0.5745871
66.0,66.0,0.49790752
67.0,67.0,0.020487376
68.0,68.0,0.5610052
69.0,69.0,0.31881183
70.0,70.0,0.56054676
71.0,71.0,0.57229775
72.0,72.0,0.9384483
73.0,73.0,0.19367212
74.0,74.0,0.5342254
75.0,75.0,0.30630776
76.0,76.0,0.010697772
77.0,77.0,0.5929233
78.0,78.0,0.0662446
79.0,79.0,0.08498957
80.0,80.0,0.15313733
81.0,81.0,0.6101333
82.0,82.0,0.008650077
83.0,83.0,0.04972829
84.0,84.0,0.12673691
85.0,85.0,0.2843472
86.0,86.0,0.014982676
87.0,87.0,2.2495614E-4
88.0,88.0,0.35920063
89.0,89.0,0.043053377
90.0,90.0,0.44502553
91.0,91.0,0.08189993
92.0,92.0,0.20741946
93.0,93.0,0.075500876
94.0,94.0,0.29318815
95.0,95.0,0.004451641
96.0,96.0,0.006512067
97.0,97.0,0.32323366
98.0,98.0,0.04170319
99.0,99.0,0.10834427
100.0,100.0,0.15438646
101.0,101.0,0.0014419642
102.0,102.0,0.037089795
103.0,103.0,0.13802184
104.0,104.0,0.61590934
105.0,105.0,0.44184896
106.0,106.0,0.4962233
107.0,107.0,0.07437398
108.0,108.0,0.476448
109.0,109.0,0.06532242
110.0,110.0,0.31251982
111.0,111.0,0.71446955
112.0,112.0,0.93491125
113.0,113.0,0.28247797
114.0,114.0,0.020744525
115.0,115.0,0.36255527
116.0,116.0,0.07584568
117.0,117.0,0.14332297
118.0,118.0,0.5170322
119.0,119.0,0.8454427
120.0,120.0,0.6088358
121.0,121.0,0.020284219
122.0,122.0,0.38984936
123.0,123.0,0.64509445
124.0,124.0,0.13147718
125.0,125.0,0.029863577
126.0,126.0,0.6152534
127.0,127.0,0.20453142
128.0,128.0,0.22734694
129.0,129.0,0.09639714
130.0,130.0,0.7850336
131.0,131.0,0.27755645
132.0,132.0,0.20371032
133.0,133.0,0.03340349
134.0,134.0,0.27634072
135.0,135.0,0.11700184
136.0,136.0,0.50289637
