Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
8.68214E-9,0.000000868,0.000046182,1,0,0
1.13717E-8,0.000002005,0.000060488,0.999900931,0,0
1.39091E-8,0.000003396,0.000073984,0.999801862,0,0
3.05954E-8,0.000010811,0.000162734,0.999504656,0,0
4.15452E-8,0.000028574,0.000220969,0.999009312,0,0
4.5861E-8,0.000050942,0.000243921,0.998513969,0,0
6.22576E-8,0.00010101,0.000331115,0.997523281,0,0
9.84598E-8,0.000253451,0.000523605,0.995640975,0,0
1.3164E-7,0.000502802,0.000699993,0.993461462,0,0
1.68017E-7,0.001015431,0.000893342,0.990093125,0,0
2.50949E-7,0.002513999,0.001333993,0.983059243,0,0
3.54347E-7,0.005010338,0.001883116,0.974836537,0,0
5.07616E-7,0.010042382,0.00269654,0.96344363,0,0
9.02108E-7,0.025032293,0.004787128,0.941846642,0,0
1.41301E-6,0.050078121,0.007488125,0.920249653,0,0
2.27762E-6,0.100034808,0.012042328,0.892906677,0.001618123,0
4.0018E-6,0.200168356,0.021061964,0.860610264,0.001618123,0
5.33105E-6,0.300228074,0.02795939,0.839211413,0.001618123,0
6.66538E-6,0.400393979,0.034834244,0.822666931,0.001618123,0
7.91984E-6,0.500635921,0.041253301,0.808995443,0.001618123,0
9.07645E-6,0.60007723,0.047133753,0.797404399,0.001618123,0
1.0082E-5,0.700984365,0.052217002,0.78700218,0.003236246,0
1.07468E-5,0.750899175,0.055562401,0.782246879,0.003236246,0
1.12701E-5,0.800585405,0.058188103,0.777788785,0.003236246,0
1.23199E-5,0.901177982,0.063432574,0.769367941,0.003236246,0
1.32E-5,1.001050627,0.067806904,0.761640579,0.004854369,0
1.39026E-5,1.10124038,0.071284469,0.754309491,0.004854369,0
1.47074E-5,1.200004428,0.075251489,0.747473747,0.004854369,0
1.54287E-5,1.300884918,0.078792975,0.74083614,0.008090615,0
1.63649E-5,1.401248084,0.083369104,0.734594809,0.008090615,0
1.7125E-5,1.500075876,0.087067845,0.728749752,0.008090615,0
1.9249E-5,1.750560821,0.097324205,0.715078264,0.008090615,0
2.074E-5,2.001842466,0.104455409,0.702595601,0.008090615,0
2.25296E-5,2.250932426,0.112940042,0.691202695,0.009708738,0
2.39688E-5,2.500075106,0.119705077,0.680602338,0.011326861,0
2.52268E-5,2.750554185,0.125575969,0.670497325,0.011326861,0
2.65029E-5,3.001122809,0.131491775,0.660887656,0.014563107,0
2.77571E-5,3.250703643,0.137266551,0.651773331,0.01618123,0
2.92757E-5,3.501051504,0.144207766,0.64305528,0.017799353,0
3.04281E-5,3.752189674,0.149437657,0.634733505,0.022653722,0
3.14795E-5,4.00009585,0.15418139,0.626808005,0.025889968,0
3.25802E-5,4.253005331,0.159119023,0.618981573,0.025889968,0
3.39177E-5,4.502641409,0.165080359,0.611551417,0.029126214,0
3.52548E-5,4.751685762,0.170997695,0.604418466,0.030744337,0
3.63417E-5,5.002761574,0.175776942,0.597483654,0.03236246,0
3.74494E-5,5.250200875,0.180618889,0.590846047,0.03236246,0
3.85552E-5,5.501037745,0.185424532,0.584307509,0.033980583,0
3.97482E-5,5.75177495,0.190577659,0.577967109,0.035598706,0
4.07466E-5,6.001371973,0.194864908,0.571824846,0.037216828,0
4.17616E-5,6.252868628,0.199200254,0.565781652,0.038834951,0
4.26638E-5,6.501929671,0.20303416,0.559936596,0.038834951,0
4.3701E-5,6.751961563,0.20741917,0.554190608,0.040453074,0
4.48378E-5,7.004181325,0.212197429,0.548543689,0.04368932,0
4.58351E-5,7.253636472,0.216365625,0.543094908,0.04368932,0
4.6854E-5,7.503988713,0.220601283,0.537745195,0.045307443,0
4.79277E-5,7.750885334,0.22503993,0.53259362,0.045307443,0
4.89535E-5,8.00257001,0.229257192,0.527442045,0.046925566,0
4.98734E-5,8.254524388,0.233019291,0.522389538,0.048543689,0
5.08076E-5,8.501096509,0.236821445,0.517535169,0.048543689,0
5.19922E-5,8.753353332,0.241615386,0.5126808,0.048543689,0
5.28874E-5,9.004868092,0.245217785,0.5079255,0.050161812,0
5.35919E-5,9.250034457,0.248041379,0.503368338,0.051779935,0
5.48262E-5,9.504728717,0.252962153,0.498712106,0.053398058,0
5.5646E-5,9.753511697,0.256212709,0.494254012,0.053398058,0
5.67712E-5,10.000710899,0.26065113,0.489894987,0.055016181,0
5.79723E-5,10.253608712,0.26535988,0.485535962,0.056634304,0
5.87965E-5,10.504501797,0.26857363,0.481276006,0.063106796,0
5.97201E-5,10.753538931,0.272158506,0.477115118,0.063106796,0
6.06465E-5,11.000444141,0.275736205,0.473053299,0.063106796,0
6.14236E-5,11.250591045,0.278723862,0.46899148,0.069579288,0
6.24186E-5,11.50449258,0.282531301,0.464929661,0.071197411,0
6.31796E-5,11.755700924,0.285429641,0.460966911,0.074433657,0
6.38075E-5,12.003369028,0.287812409,0.45710323,0.079288026,0
6.47527E-5,12.25420147,0.291384289,0.453239548,0.082524272,0
6.53756E-5,12.501380784,0.293728437,0.449474936,0.090614887,0
6.59801E-5,12.750875354,0.295995577,0.445710323,0.095469256,0
6.66978E-5,13.003058354,0.298678389,0.44194571,0.095469256,0
6.76749E-5,13.251774924,0.302313851,0.438280166,0.097087379,0
6.86451E-5,13.504204323,0.305905288,0.434614623,0.098705502,0
6.94574E-5,13.752786227,0.308897903,0.431048147,0.101941748,0
7.03338E-5,14.004381607,0.312112164,0.427481672,0.101941748,0
7.09565E-5,14.25172566,0.31438702,0.424014266,0.101941748,0
7.16709E-5,14.501125095,0.316987468,0.42054686,0.106796117,0
7.24032E-5,14.753350379,0.319642886,0.417079453,0.108414239,0
7.31374E-5,15.000885996,0.322294953,0.413711116,0.108414239,0
7.40019E-5,15.251158707,0.32540408,0.410342778,0.110032362,0
7.50008E-5,15.504595295,0.328979231,0.40697444,0.111650485,0
7.56933E-5,15.753181481,0.331446452,0.403705171,0.113268608,0
7.64229E-5,16.004178633,0.334035846,0.400435903,0.113268608,0
7.72886E-5,16.250098338,0.337095839,0.397265702,0.114886731,0
7.82632E-5,16.506881444,0.340523603,0.393996434,0.114886731,0
7.88499E-5,16.750563278,0.342578244,0.390925302,0.116504854,0
7.99079E-5,17.004586106,0.346267978,0.387755102,0.118122977,0
8.0742E-5,17.253719659,0.349161853,0.384683971,0.122977346,0
8.14071E-5,17.505002672,0.351460607,0.381612839,0.122977346,0
8.25482E-5,17.751099332,0.355385037,0.378640777,0.124595469,0
8.36836E-5,18.000757665,0.359266739,0.375668714,0.126213592,0
8.424E-5,18.25258459,0.361160053,0.372696651,0.129449838,0
8.50472E-5,18.506428564,0.363897361,0.369724589,0.131067961,0
8.57288E-5,18.754107055,0.366199303,0.366851595,0.13592233,0
8.63823E-5,19.003705442,0.368398835,0.363978601,0.142394822,0
8.71162E-5,19.255260567,0.370859555,0.361105607,0.145631068,0
8.80092E-5,19.500616263,0.373841114,0.358331682,0.148867314,0
8.89652E-5,19.757153224,0.377017392,0.355458688,0.150485437,0
8.98814E-5,20.007607488,0.380046105,0.352684763,0.155339806,0
9.05992E-5,20.251282613,0.382408758,0.350009907,0.155339806,0
9.1849E-5,20.507150532,0.386500866,0.347235982,0.158576052,0
9.27853E-5,20.756324864,0.389548924,0.344561125,0.161812298,0
9.37684E-5,21.008224002,0.392732856,0.341886269,0.161812298,0
9.45238E-5,21.253023411,0.395167869,0.339310481,0.165048544,0
9.51559E-5,21.509150893,0.397198194,0.336635625,0.169902913,0
9.60756E-5,21.757941754,0.400139937,0.334059838,0.171521036,0
9.69856E-5,22.00895149,0.403036581,0.33148405,0.174757282,0
9.75775E-5,22.252127011,0.404913194,0.329007331,0.174757282,0
9.85158E-5,22.506956311,0.407876183,0.326431543,0.177993528,0
9.93619E-5,22.754375132,0.410535196,0.323954825,0.181229773,0
1.00311E-4,23.004043725,0.413502704,0.321478106,0.182847896,0
1.01245E-4,23.256056415,0.416409301,0.319001387,0.186084142,0
1.01906E-4,23.510051588,0.418457057,0.316524668,0.187702265,0
1.02433E-4,23.755287605,0.420087358,0.314147018,0.187702265,0
1.03397E-4,24.002130055,0.423051737,0.311769368,0.190938511,0
1.04331E-4,24.251504588,0.425911904,0.309391718,0.194174757,0
1.05312E-4,24.503189561,0.428901159,0.307014068,0.19579288,0
1.06108E-4,24.756983491,0.431313505,0.304636418,0.197411003,0
1.06955E-4,25.002394686,0.433868892,0.302357836,0.197411003,0
1.07642E-4,25.260089009,0.435935376,0.299980186,0.202265372,0
1.08708E-4,25.508972368,0.439123247,0.297701605,0.205501618,0
1.09493E-4,25.759890681,0.441459809,0.295423024,0.205501618,0
1.10497E-4,26.001908224,0.444434697,0.293243511,0.208737864,0
1.11394E-4,26.257015687,0.447079331,0.29096493,0.208737864,0
1.12132E-4,26.502934527,0.449247721,0.288785417,0.210355987,0
1.13266E-4,26.751239741,0.45255893,0.286605904,0.21197411,0
1.14167E-4,27.001439866,0.455176439,0.284426392,0.213592233,0
1.1509E-4,27.253877301,0.457843923,0.282246879,0.216828479,0
1.15879E-4,27.507993811,0.460114804,0.280067367,0.220064725,0
1.16665E-4,27.752017222,0.462369156,0.277986923,0.220064725,0
1.17628E-4,28.009703618,0.465114893,0.27580741,0.223300971,0
1.18613E-4,28.257947445,0.467910109,0.273726967,0.226537217,0
1.19371E-4,28.508029512,0.47005247,0.271646523,0.22815534,0
1.20161E-4,28.759476068,0.472273716,0.269566079,0.22815534,0
1.21169E-4,29.000723694,0.475096736,0.267584704,0.22815534,0
1.21881E-4,29.256018832,0.477079718,0.26550426,0.231391586,0
1.22604E-4,29.500532058,0.479085971,0.263522885,0.231391586,0
1.23436E-4,29.758745602,0.481387355,0.261442441,0.231391586,0
1.24298E-4,30.006684945,0.483758838,0.259461066,0.234627832,0
1.25038E-4,30.256134369,0.48578848,0.257479691,0.236245955,0
1.26207E-4,30.507267095,0.488977045,0.255498316,0.237864078,0
1.27071E-4,30.760536465,0.491317941,0.253516941,0.241100324,0
1.27993E-4,31.003095299,0.493807852,0.251634634,0.24433657,0
1.29396E-4,31.260432531,0.497572092,0.249653259,0.247572816,0
1.3042E-4,31.507190907,0.500300124,0.247770953,0.249190939,0
1.31005E-4,31.755533712,0.501853673,0.245888647,0.250809061,0
1.32039E-4,32.00539682,0.504585282,0.24400634,0.254045307,0
1.32861E-4,32.257166025,0.50674731,0.242124034,0.257281553,0
1.33628E-4,32.510584359,0.508754206,0.240241728,0.262135922,0
1.3467E-4,32.752093134,0.511469916,0.23845849,0.265372168,0
1.35855E-4,33.009208434,0.514541035,0.236576184,0.268608414,0
1.36665E-4,33.254521217,0.516628405,0.234792946,0.27184466,0
1.37425E-4,33.501092465,0.518576718,0.233009709,0.27184466,0
1.38339E-4,33.763161016,0.520912723,0.231127402,0.27184466,0
1.39862E-4,34.013624772,0.52477879,0.229344165,0.273462783,0
1.40936E-4,34.252436856,0.527485118,0.227659996,0.276699029,0
