x,y,species cloglog values
1.0,1.0,0.005786479
2.0,2.0,0.5258326
3.0,3.0,0.12597692
4.0,4.0,0.02645169
5.0,5.0,0.038105365
6.0,6.0,0.0016007113
7.0,7.0,0.14882009
8.0,8.0,0.42647517
9.0,9.0,0.33941108
10.0,10.0,0.1224717
11.0,11.0,0.10730429
12.0,12.0,0.03709297
13.0,13.0,0.036769215
14.0,14.0,6.147626E-4
15.0,15.0,0.2635712
16.0,16.0,0.12344303
17.0,17.0,0.09720915
18.0,18.0,0.0018794345
19.0,19.0,0.2492982
20.0,20.0,0.009701224
21.0,21.0,0.5661647
22.0,22.0,0.24668197
23.0,23.0,0.0073458324
24.0,24.0,0.031265795
25.0,25.0,0.38134465
26.0,26.0,0.0011794093
27.0,27.0,0.27348742
28.0,28.0,0.18264551
29.0,29.0,0.087509036
30.0,30.0,0.045230832
31.0,31.0,0.25764915
32.0,32.0,0.58638346
33.0,33.0,0.009076991
34.0,34.0,0.047556628
35.0,35.0,0.0014147989
36.0,36.0,0.29221708
37.0,37.0,0.6246188
38.0,38.0,0.66070884
39.0,39.0,0.061654616
40.0,40.0,0.5860723
41.0,41.0,0.008274027
42.0,42.0,0.42920995
43.0,43.0,0.013713427
44.0,44.0,0.0028058526
45.0,45.0,0.39537627
46.0,46.0,0.7044795
47.0,47.0,0.3303484
48.0,48.0,0.61853594
49.0,49.0,0.17593475
50.0,50.0,0.09153478
51.0,51.0,0.86113584
52.0,52.0,9.059715E-4
53.0,53.0,0.445376
54.0,54.0,0.53487206
55.0,55.0,0.12789431
56.0,56.0,0.103153035
57.0,57.0,0.15697925
58.0,58.0,0.010293913
59.0,59.0,0.010722394
60.0,60.0,0.6804678
61.0,61.0,0.24257012
62.0,62.0,4.7918456E-4
63.0,63.0,4.2650048E-4
64.0,64.0,0.4955565
65.0,65.0,0.11181582
66.0,66.0,0.29623625
67.0,67.0,0.17543098
68.0,68.0,0.06376002
69.0,69.0,0.04701271
70.0,70.0,0.023858905
71.0,71.0,0.18013063
72.0,72.0,0.007309498
73.0,73.0,0.035074998
74.0,74.0,0.10246103
75.0,75.0,0.13826549
76.0,76.0,0.25497496
77.0,77.0,0.008308715
78.0,78.0,0.16854948
79.0,79.0,0.04658319
80.0,80.0,0.097175516
81.0,81.0,0.12354005
82.0,82.0,0.23363583
83.0,83.0,0.009325262
84.0,84.0,0.022289634
85.0,85.0,0.47918862
86.0,86.0,0.1413294
87.0,87.0,0.31639367
88.0,88.0,0.57738113
89.0,89.0,0.006659468
90.0,90.0,0.003541078
91.0,91.0,0.17127621
92.0,92.0,0.023560928
93.0,93.0,0.011996072
94.0,94.0,0.12968275
95.0,95.0,0.39681348
96.0,96.0,0.22771429
97.0,97.0,0.0017240092
98.0,98.0,0.0023482088
99.0,99.0,0.09446209
100.0,100.0,0.012793667
101.0,101.0,0.19706888
102.0,102.0,0.52424216
103.0,103.0,1.6906495E-4
104.0,104.0,0.061597113
105.0,105.0,0.06465264
106.0,106.0,0.0010756417
107.0,107.0,5.0428585E-4
108.0,108.0,0.044259127
109.0,109.0,0.23631625
110.0,110.0,0.4655351
111.0,111.0,0.71491736
112.0,112.0,0.06979587
113.0,113.0,0.8643134
114.0,114.0,0.6583764
115.0,115.0,5.468552E-4
116.0,116.0,0.08252267
117.0,117.0,0.056676634
118.0,118.0,0.4608275
119.0,119.0,0.005630322
120.0,120.0,0.13035782
121.0,121.0,0.17674755
122.0,122.0,0.41752273
123.0,123.0,0.36739212
124.0,124.0,0.16467962
125.0,125.0,0.009167515
126.0,126.0,0.0059952093
127.0,127.0,0.48980984
128.0,128.0,0.095329426
129.0,129.0,0.59684926
130.0,130.0,0.8456019
131.0,131.0,0.013332621
132.0,132.0,0.16589214
133.0,133.0,0.5166489
134.0,134.0,0.4787262
135.0,135.0,0.12372515
136.0,136.0,0.013284085
137.0,137.0,0.09935327
138.0,138.0,0.30514407
139.0,139.0,0.4955273
140.0,140.0,0.55603653
141.0,141.0,0.32344633
142.0,142.0,0.98038197
143.0,143.0,0.19687222
144.0,144.0,0.005492582
145.0,145.0,0.5881656
146.0,146.0,0.018531393
147.0,147.0,0.009131969
148.0,148.0,0.2783377
149.0,149.0,0.029710831
150.0,150.0,0.007435137
151.0,151.0,0.14096993
152.0,152.0,0.19230723
153.0,153.0,0.032440986
154.0,154.0,0.15011002
155.0,155.0,0.60985106
156.0,156.0,0.3658325
157.0,157.0,0.06886061
158.0,158.0,0.2804489
159.0,159.0,5.375783E-4
160.0,160.0,0.27699688
161.0,161.0,0.5557898
162.0,162.0,0.3017099
163.0,163.0,0.7638101
164.0,164.0,0.0025247212
165.0,165.0,0.46800753
166.0,166.0,0.019180218
167.0,167.0,0.024963541
168.0,168.0,0.15522923
169.0,169.0,0.13265663
170.0,170.0,0.6444916
171.0,171.0,0.9012367
172.0,172.0,0.03236119
173.0,173.0,0.018095523
174.0,174.0,0.35125172
175.0,175.0,0.32942358
176.0,176.0,0.36851382
177.0,177.0,0.1201398
178.0,178.0,0.096546195
179.0,179.0,0.4930255
180.0,180.0,0.80106163
181.0,181.0,0.3192166
182.0,182.0,0.00477329
183.0,183.0,0.00916755
184.0,184.0,0.19986649
185.0,185.0,0.21798865
186.0,186.0,0.74914277
187.0,187.0,0.2636893
188.0,188.0,0.80782187
189.0,189.0,0.01294241
190.0,190.0,0.32761535
191.0,191.0,0.13852052
192.0,192.0,0.16460189
193.0,193.0,0.047206648
194.0,194.0,0.31153885
195.0,195.0,0.09980394
196.0,196.0,0.44226837
197.0,197.0,0.484212
198.0,198.0,0.396447
199.0,199.0,0.11810179
200.0,200.0,0.004366978
201.0,201.0,0.5322209
202.0,202.0,0.03163472
203.0,203.0,0.016785689
204.0,204.0,0.1034053
205.0,205.0,0.5357271
206.0,206.0,0.046313915
207.0,207.0,0.7150484
208.0,208.0,0.021996057
209.0,209.0,0.20202355
210.0,210.0,0.19425605
211.0,211.0,0.0021734384
212.0,212.0,0.2831383
213.0,213.0,0.37026465
214.0,214.0,0.018621253
215.0,215.0,0.47875723
216.0,216.0,0.13322607
217.0,217.0,0.0049209986
218.0,218.0,0.13773148
219.0,219.0,0.11910557
220.0,220.0,0.6273712
221.0,221.0,0.68712634
222.0,222.0,0.19416395
