Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
7.97103E-9,0.000000797,0.000042775,1,0,0
9.72741E-9,0.00000177,0.0000522,0.999901439,0,0
9.9074E-9,0.000002761,0.000053165,0.999802878,0,0
1.95435E-8,0.000011103,0.000104872,0.999310073,0,0
2.90898E-8,0.000026824,0.000156095,0.998620146,0,0
4.0059E-8,0.000052944,0.000214949,0.997831658,0,0
5.75341E-8,0.000105109,0.000308702,0.996747487,0,0
7.53869E-8,0.000254654,0.000404473,0.994579144,0,0
9.5081E-8,0.000505197,0.000510111,0.991720875,0,0
1.25013E-7,0.00100895,0.000670641,0.987187069,0,0
2.03384E-7,0.002501259,0.001090841,0.978020895,0,0
2.93167E-7,0.00501487,0.001572008,0.968066233,0,0
4.32037E-7,0.010039543,0.002315787,0.954169131,0,0
8.02962E-7,0.025059164,0.00429973,0.929627439,0,0
1.36446E-6,0.050042536,0.007295469,0.906465602,0.001618123,0
2.23644E-6,0.100069031,0.011929864,0.878572837,0.001618123,0
3.8269E-6,0.200118022,0.020327138,0.845357776,0.001618123,0
5.26966E-6,0.300271834,0.027882898,0.823674354,0.001618123,0
6.70243E-6,0.400415879,0.035328622,0.807017544,0.001618123,0
8.21973E-6,0.500424086,0.043151486,0.793711808,0.001618123,0
9.52458E-6,0.600263333,0.049828235,0.782574414,0.001618123,0
1.06688E-5,0.700925578,0.0556448,0.772718313,0.001618123,0
1.1265E-5,0.750297442,0.058661303,0.768283067,0.001618123,0
1.1771E-5,0.800945097,0.061213766,0.763946383,0.001618123,0
1.28491E-5,0.900308464,0.066629434,0.755962941,0.001618123,0
1.3793E-5,1.000762028,0.071345615,0.748570865,0.001618123,0
1.46356E-5,1.100060189,0.075535263,0.741671595,0.001618123,0
1.5447E-5,1.20103996,0.079551564,0.735068007,0.001618123,0
1.62485E-5,1.301019223,0.083502282,0.728858664,0.003236246,0
1.69505E-5,1.400737569,0.086948168,0.722945003,0.003236246,0
1.76603E-5,1.501418937,0.090419352,0.717228464,0.003236246,0
1.92969E-5,1.750651623,0.098372919,0.703922728,0.003236246,0
2.10294E-5,2.000648518,0.106716825,0.691701163,0.004854369,0
2.27782E-5,2.250221357,0.115061067,0.680465208,0.006472492,0
2.45576E-5,2.50106611,0.12347066,0.670017741,0.009708738,0
2.59305E-5,2.751599528,0.129905085,0.660260201,0.011326861,0
