x,y,species cloglog values
227.0,227.0,0.447671
228.0,228.0,0.005352669
229.0,229.0,0.01234313
230.0,230.0,0.010640156
231.0,231.0,0.8225444
232.0,232.0,0.97854275
233.0,233.0,0.51879615
234.0,234.0,0.0020389385
235.0,235.0,0.27464968
236.0,236.0,0.4396653
237.0,237.0,0.013784163
238.0,238.0,0.08879184
239.0,239.0,0.5911937
240.0,240.0,0.011819538
241.0,241.0,0.5038474
242.0,242.0,0.17428568
243.0,243.0,0.096923314
244.0,244.0,0.39929777
245.0,245.0,0.7070091
246.0,246.0,0.82159764
247.0,247.0,0.2880537
248.0,248.0,0.6985466
249.0,249.0,0.7553325
250.0,250.0,0.46298966
251.0,251.0,0.60157645
252.0,252.0,0.20982727
253.0,253.0,0.44733667
254.0,254.0,0.4413429
255.0,255.0,0.6324252
256.0,256.0,9.01318E-4
257.0,257.0,0.046423227
258.0,258.0,0.036134467
259.0,259.0,0.70745564
260.0,260.0,0.010182981
261.0,261.0,0.46778992
262.0,262.0,0.21955036
263.0,263.0,0.11115117
264.0,264.0,0.8100432
265.0,265.0,0.70199287
266.0,266.0,0.0012139753
267.0,267.0,0.25198326
268.0,268.0,0.6328744
269.0,269.0,0.26423863
270.0,270.0,0.003906571
271.0,271.0,0.23034027
272.0,272.0,0.48453084
273.0,273.0,0.54114205
274.0,274.0,0.46559536
275.0,275.0,0.028204786
276.0,276.0,0.01598153
277.0,277.0,0.59427136
278.0,278.0,0.1645704
279.0,279.0,0.026139896
280.0,280.0,0.97829694
281.0,281.0,0.012976181
282.0,282.0,0.51911616
283.0,283.0,0.030087307
284.0,284.0,0.50483024
285.0,285.0,0.3614565
286.0,286.0,0.4032891
287.0,287.0,0.41275665
288.0,288.0,0.3654068
289.0,289.0,0.21878283
290.0,290.0,0.21604289
291.0,291.0,0.19364935
292.0,292.0,0.12846088
293.0,293.0,0.0054717003
294.0,294.0,0.36196774
295.0,295.0,0.04563162
296.0,296.0,0.63645655
297.0,297.0,0.29078904
298.0,298.0,0.095054865
299.0,299.0,0.7239033
300.0,300.0,0.0042597903
301.0,301.0,0.65877306
302.0,302.0,0.37952885
303.0,303.0,0.006358722
304.0,304.0,0.34256047
305.0,305.0,0.32036918
306.0,306.0,0.42655873
307.0,307.0,0.12542048
308.0,308.0,0.25406966
309.0,309.0,0.057944313
310.0,310.0,0.0064414893
311.0,311.0,0.13982007
312.0,312.0,0.2130833
313.0,313.0,0.53769666
314.0,314.0,0.03630788
315.0,315.0,0.014407663
316.0,316.0,0.5731202
317.0,317.0,0.10990451
318.0,318.0,0.81140566
319.0,319.0,0.2757686
320.0,320.0,0.23951428
321.0,321.0,0.8991972
322.0,322.0,0.44308534
323.0,323.0,0.0052901427
324.0,324.0,0.3459713
325.0,325.0,0.038566273
326.0,326.0,0.075078495
327.0,327.0,0.7836952
328.0,328.0,0.21545812
329.0,329.0,0.65552914
330.0,330.0,0.21041678
331.0,331.0,0.81097037
332.0,332.0,0.35014865
333.0,333.0,0.28642026
334.0,334.0,0.6538265
335.0,335.0,0.18143997
336.0,336.0,0.72913957
337.0,337.0,0.035935853
338.0,338.0,0.3412356
339.0,339.0,0.38580072
340.0,340.0,0.008373044
341.0,341.0,0.14674379
342.0,342.0,0.7371026
343.0,343.0,0.6318984
344.0,344.0,0.058147572
345.0,345.0,0.2372276
346.0,346.0,0.0038440567
347.0,347.0,0.03469146
348.0,348.0,0.53965294
349.0,349.0,0.007670817
350.0,350.0,0.061394326
351.0,351.0,0.35767928
352.0,352.0,0.09379835
353.0,353.0,0.05335599
354.0,354.0,0.4348022
355.0,355.0,0.6045331
356.0,356.0,1.5609471E-4
357.0,357.0,0.06984719
358.0,358.0,0.5305427
359.0,359.0,0.27013913
360.0,360.0,0.6916217
361.0,361.0,0.86485267
362.0,362.0,0.7182173
363.0,363.0,0.30071598
364.0,364.0,0.40556517
365.0,365.0,0.10227623
366.0,366.0,0.06464838
367.0,367.0,0.0018953063
368.0,368.0,0.31633168
369.0,369.0,0.2459289
370.0,370.0,0.0057462854
371.0,371.0,0.29822657
372.0,372.0,0.05284044
373.0,373.0,0.18926199
374.0,374.0,0.047874436
375.0,375.0,8.510779E-4
376.0,376.0,0.15682644
377.0,377.0,0.40806803
378.0,378.0,0.20619659
379.0,379.0,0.26650822
380.0,380.0,0.24553776
381.0,381.0,0.798199
382.0,382.0,0.58823127
383.0,383.0,0.46342966
384.0,384.0,0.01963534
385.0,385.0,0.03202266
386.0,386.0,0.22548063
387.0,387.0,0.016399408
388.0,388.0,0.00196754
389.0,389.0,0.004285421
390.0,390.0,0.47205582
391.0,391.0,0.7825332
392.0,392.0,0.51246935
393.0,393.0,0.003441441
394.0,394.0,0.571276
395.0,395.0,0.05311956
396.0,396.0,0.14309846
397.0,397.0,0.0014689144
398.0,398.0,0.15099387
399.0,399.0,0.0671616
400.0,400.0,0.55731755
401.0,401.0,0.37461993
402.0,402.0,0.36556536
403.0,403.0,0.6169905
404.0,404.0,0.050164882
405.0,405.0,0.39110118
406.0,406.0,0.45791954
407.0,407.0,0.005980469
408.0,408.0,0.10754034
409.0,409.0,0.87537086
410.0,410.0,0.43488035
411.0,411.0,0.2757807
412.0,412.0,0.4912836
413.0,413.0,0.020302817
414.0,414.0,0.15843907
415.0,415.0,3.9600523E-4
416.0,416.0,0.19812368
417.0,417.0,0.22015886
418.0,418.0,0.46520874
419.0,419.0,0.2880195
420.0,420.0,0.7259195
421.0,421.0,0.35689196
422.0,422.0,0.27850327
423.0,423.0,0.39330462
424.0,424.0,0.28192666
425.0,425.0,0.2255122
426.0,426.0,0.7625194
427.0,427.0,0.2279245
428.0,428.0,0.1243097
429.0,429.0,0.34987903
430.0,430.0,0.15418407
431.0,431.0,0.79465294
432.0,432.0,0.6649903
433.0,433.0,0.07894766
