Predictor variable,Categorical,Sample average
Alt_mean,false,98.67961165048544
Arable,false,0.24169902923037706
BL,false,0.09139158548395418
Coast,false,0.0029773462630060883
Conif,false,0.026472491878280748
ImGrass,false,0.42313915880210096
SemiNat,false,0.031116504791798522
Slope_meanDeg,false,2.678802610408141
Upland,false,0.02948220055188658
Urban,false,0.14684466059804926
Water,false,0.008155339726014817
aspect,false,180.55139978360205
bio1,false,9.89215281094548
bio12,false,832.8191885840159
bio18,false,180.25406792403038
bio2,false,7.613741837658928
bio3,false,39.0576874692849
bio4,false,451.6380387093257
bio5,false,21.075535584421992
bio6,false,1.605468450403474
bio8,false,7.906679619863195
bio9,false,11.041052039001366
