Predictor variable,Categorical,Sample average
Alt_mean,false,102.7621359223301
Arable,false,0.23831715215069865
BL,false,0.10252427156942273
Coast,false,0.0026375404182327217
Conif,false,0.02428802599208158
ImGrass,false,0.4205663429971025
SemiNat,false,0.030922330002689246
Slope_meanDeg,false,2.7885113493524325
Upland,false,0.028948219987325684
Urban,false,0.14393203916227065
Water,false,0.008834951310071937
aspect,false,176.8788914674694
bio1,false,9.87456964674891
bio12,false,832.3179588935136
bio18,false,180.63908504745336
bio2,false,7.6175752334224365
bio3,false,39.062558566096534
bio4,false,451.69514272745374
bio5,false,21.065658601742346
bio6,false,1.5888106827307673
bio8,false,7.827784928852667
bio9,false,10.984514004975846
