Predictor variable,Categorical,Sample average
Alt_mean,false,99.28478964401295
Arable,false,0.2368608414976101
BL,false,0.09553398027967866
Coast,false,0.003786407730581305
Conif,false,0.024789644082748967
ImGrass,false,0.4266990292546095
SemiNat,false,0.029999999881007718
Slope_meanDeg,false,2.614077691892976
Upland,false,0.02789644025941304
Urban,false,0.1453074436893982
Water,false,0.010355986929031445
aspect,false,177.32996174529146
bio1,false,9.896633939064051
bio12,false,839.3807754269695
bio18,false,181.04742323001997
bio2,false,7.606688031100918
bio3,false,39.07284825519451
bio4,false,450.92397878702405
bio5,false,21.05956067853761
bio6,false,1.616716832220916
bio8,false,7.796251895744052
bio9,false,11.148931761775588
