x,y,species cloglog values
1.0,1.0,0.16091444
2.0,2.0,0.13662758
3.0,3.0,0.028171808
4.0,4.0,0.91798264
5.0,5.0,0.09210862
6.0,6.0,0.3374777
7.0,7.0,0.0066029527
8.0,8.0,0.18443735
9.0,9.0,0.4949526
10.0,10.0,0.0055232476
11.0,11.0,0.021502197
12.0,12.0,0.005510437
13.0,13.0,0.044937804
14.0,14.0,0.13158184
15.0,15.0,0.32111236
16.0,16.0,0.38961762
17.0,17.0,0.73986083
18.0,18.0,0.09885344
19.0,19.0,0.028841797
20.0,20.0,0.0015242418
21.0,21.0,0.3512337
22.0,22.0,0.20593767
23.0,23.0,0.33614963
24.0,24.0,8.1592624E-4
25.0,25.0,0.66692805
26.0,26.0,0.0044607446
27.0,27.0,4.1245544E-4
28.0,28.0,0.46712384
29.0,29.0,0.105785556
30.0,30.0,0.1706583
31.0,31.0,0.18692769
32.0,32.0,0.28781235
33.0,33.0,0.66175747
34.0,34.0,0.4335227
35.0,35.0,0.1169068
36.0,36.0,0.38452494
37.0,37.0,0.3937791
38.0,38.0,0.28434956
39.0,39.0,0.022225186
40.0,40.0,0.17017175
41.0,41.0,0.3776898
42.0,42.0,0.00450075
43.0,43.0,0.17398104
44.0,44.0,0.18173309
45.0,45.0,0.6697695
46.0,46.0,0.8384203
47.0,47.0,0.83767587
48.0,48.0,0.33800715
49.0,49.0,0.08045279
50.0,50.0,0.45981178
51.0,51.0,0.16616163
52.0,52.0,0.30599877
53.0,53.0,0.16688865
54.0,54.0,0.9132462
55.0,55.0,0.34373555
56.0,56.0,0.07004065
57.0,57.0,0.7623231
58.0,58.0,0.5896345
59.0,59.0,0.21415319
60.0,60.0,0.17880274
61.0,61.0,0.33426926
62.0,62.0,0.99298674
63.0,63.0,0.19412054
64.0,64.0,0.604098
65.0,65.0,0.1501384
66.0,66.0,0.008764087
67.0,67.0,0.19940308
68.0,68.0,0.5306022
69.0,69.0,0.0020352106
70.0,70.0,0.15479723
71.0,71.0,0.28614864
72.0,72.0,0.010858649
73.0,73.0,0.0067715268
74.0,74.0,0.11473055
75.0,75.0,0.39057434
76.0,76.0,0.004816475
77.0,77.0,0.2063914
78.0,78.0,0.00393936
79.0,79.0,0.114222124
80.0,80.0,7.974217E-4
81.0,81.0,0.64197797
82.0,82.0,0.21231796
83.0,83.0,0.13348852
84.0,84.0,0.22052434
85.0,85.0,0.30989844
86.0,86.0,0.6995606
87.0,87.0,0.709073
88.0,88.0,0.5968223
89.0,89.0,0.07423655
90.0,90.0,0.0026905315
91.0,91.0,0.33306304
92.0,92.0,0.007611749
93.0,93.0,0.008709286
94.0,94.0,0.081322454
95.0,95.0,0.0040708124
96.0,96.0,0.17920992
97.0,97.0,0.58095694
98.0,98.0,0.3251398
99.0,99.0,0.53521526
100.0,100.0,0.36030242
101.0,101.0,0.022544496
102.0,102.0,0.12509458
103.0,103.0,0.21963564
104.0,104.0,0.0031725855
105.0,105.0,0.22933637
106.0,106.0,0.04874966
107.0,107.0,0.001001989
108.0,108.0,0.69934833
109.0,109.0,0.9805814
110.0,110.0,0.10452298
111.0,111.0,0.10275222
112.0,112.0,0.0392081
113.0,113.0,0.0238254
114.0,114.0,0.030406537
115.0,115.0,0.01939163
116.0,116.0,0.49617404
117.0,117.0,4.5757336E-4
118.0,118.0,0.06388952
119.0,119.0,8.960539E-5
120.0,120.0,0.007900009
121.0,121.0,0.40501487
122.0,122.0,0.37234077
123.0,123.0,0.24530184
124.0,124.0,0.004108127
125.0,125.0,0.08405073
126.0,126.0,0.48116982
127.0,127.0,0.66033655
128.0,128.0,0.5009452
129.0,129.0,0.68517023
130.0,130.0,0.35102126
131.0,131.0,0.6297979
132.0,132.0,0.21327166
133.0,133.0,0.4286891
134.0,134.0,0.053401906
135.0,135.0,0.06807394
136.0,136.0,0.3200355
137.0,137.0,0.6218729
138.0,138.0,0.27438816
139.0,139.0,0.28445888
140.0,140.0,0.06607965
141.0,141.0,0.08769444
142.0,142.0,0.52451825
143.0,143.0,0.16303721
144.0,144.0,0.047882803
145.0,145.0,1.4292655E-4
146.0,146.0,0.47678003
147.0,147.0,0.07766518
148.0,148.0,0.82586086
149.0,149.0,0.85996705
150.0,150.0,0.0016734602
151.0,151.0,0.7287954
152.0,152.0,0.029402439
153.0,153.0,0.26938912
154.0,154.0,0.3190471
155.0,155.0,0.0033929248
156.0,156.0,5.1486236E-4
157.0,157.0,0.11623556
158.0,158.0,0.91889405
159.0,159.0,0.5385883
160.0,160.0,0.1830833
161.0,161.0,0.28639668
162.0,162.0,0.111610845
163.0,163.0,0.18496911
164.0,164.0,0.7803342
165.0,165.0,0.07383473
166.0,166.0,0.33459708
167.0,167.0,0.20638719
168.0,168.0,0.6977991
169.0,169.0,0.0668464
170.0,170.0,0.32912672
171.0,171.0,0.3529223
172.0,172.0,0.01704206
173.0,173.0,0.07583414
174.0,174.0,0.009199109
175.0,175.0,0.3048724
176.0,176.0,0.6328998
177.0,177.0,0.44724423
178.0,178.0,0.00524126
179.0,179.0,0.86477673
180.0,180.0,0.040949784
181.0,181.0,0.58814156
182.0,182.0,0.047228362
183.0,183.0,0.27449766
184.0,184.0,0.30339602
185.0,185.0,0.011856302
186.0,186.0,0.012386032
187.0,187.0,0.42942587
188.0,188.0,0.41605178
189.0,189.0,8.6386764E-4
190.0,190.0,0.07835509
191.0,191.0,0.33709505
192.0,192.0,0.009042287
193.0,193.0,0.8931445
194.0,194.0,0.9048689
195.0,195.0,0.002781698
196.0,196.0,0.1801746
197.0,197.0,0.10078986
198.0,198.0,0.6289087
199.0,199.0,0.4316548
200.0,200.0,0.19987382
201.0,201.0,0.5434936
202.0,202.0,0.03855982
203.0,203.0,0.16950616
204.0,204.0,0.7046844
205.0,205.0,0.63562924
206.0,206.0,0.042127304
207.0,207.0,0.6126558
208.0,208.0,8.191934E-4
209.0,209.0,0.07673353
210.0,210.0,0.06878599
