Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.02421E-8,0.000001024,0.000051349,1,0,0
1.10765E-8,0.000003221,0.000055532,0.999802019,0,0
1.78732E-8,0.000010736,0.000089605,0.999307068,0,0
2.34608E-8,0.000027238,0.000117617,0.998515146,0,0
3.13357E-8,0.00005139,0.000157093,0.997624233,0,0
3.85655E-8,0.000100775,0.000193334,0.996238369,0,0
5.92082E-8,0.000250964,0.000296803,0.99326866,0,0
7.6808E-8,0.000503206,0.000385012,0.989507028,0,0
1.07682E-7,0.001010582,0.000539729,0.984062562,0,0
1.72185E-7,0.002502577,0.000862898,0.97356959,0,0
2.53702E-7,0.005010462,0.001271159,0.961690754,0,0
3.86893E-7,0.01001396,0.001937854,0.946050287,0,0
7.61153E-7,0.025052095,0.003808861,0.919025935,0.001618123,0
1.18085E-6,0.050039989,0.005902856,0.893189467,0.001618123,0
2.0999E-6,0.100063855,0.010472866,0.861413581,0.001618123,0
3.76609E-6,0.20011048,0.018704625,0.826964957,0.001618123,0
5.02615E-6,0.300435798,0.024884362,0.804296179,0.001618123,0
6.23633E-6,0.400073749,0.030782871,0.786873886,0.001618123,0
7.46945E-6,0.500156021,0.036756451,0.772322312,0.003236246,0
8.68148E-6,0.600853684,0.042592018,0.759948525,0.004854369,0
1.00559E-5,0.700902355,0.049166789,0.749356563,0.006472492,0
1.05599E-5,0.750408809,0.051566107,0.744605029,0.006472492,0
1.11258E-5,0.800351929,0.054253217,0.740051475,0.006472492,0
1.21199E-5,0.900369976,0.05895516,0.731538309,0.006472492,0
1.32459E-5,1.00035149,0.064252958,0.723718076,0.006472492,0
1.40651E-5,1.100313721,0.068088017,0.716491784,0.006472492,0
1.47931E-5,1.201338193,0.071483149,0.709562463,0.008090615,0
1.58121E-5,1.300892731,0.076215122,0.703128093,0.008090615,0
1.64531E-5,1.401120128,0.079179194,0.696990695,0.008090615,0
1.74237E-5,1.501280131,0.083649201,0.691150267,0.008090615,0
1.91553E-5,1.75139138,0.091569814,0.677588596,0.009708738,0
2.10792E-5,2.001678127,0.10029045,0.665313799,0.009708738,0
2.27268E-5,2.251920011,0.107691681,0.654028905,0.011326861,0
2.41933E-5,2.500731522,0.114228323,0.643535933,0.012944984,0
2.5866E-5,2.751062744,0.121625737,0.633636904,0.014563107,0
